epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20680.1,0.54173,0.33564,0.95703,0.99991,0.98225,0.98611,0.91547,0.39556,0.25341,0.84342,0.0011882,0.0011882,0.0011882
43,21026.7,0.54074,0.34392,0.93013,0.99976,0.98225,0.98621,0.91578,0.39299,0.23913,0.83909,0.0011684,0.0011684,0.0011684
44,21370.4,0.54219,0.34016,0.96726,0.99976,0.98225,0.98724,0.92831,0.3613,0.23067,0.82789,0.0011486,0.0011486,0.0011486
45,21712.2,0.53332,0.33542,0.94842,0.99966,0.98225,0.98769,0.92952,0.3641,0.20979,0.82807,0.0011288,0.0011288,0.0011288
46,22059.6,0.51596,0.32441,0.92916,0.99971,0.98225,0.98714,0.92857,0.35743,0.21103,0.82831,0.001109,0.001109,0.001109
47,22405.7,0.50972,0.31841,0.92729,0.99969,0.98225,0.98729,0.94411,0.34497,0.21407,0.82253,0.0010892,0.0010892,0.0010892
48,22758.9,0.50812,0.31028,0.93305,0.99401,0.98216,0.9882,0.9305,0.39119,0.21866,0.84245,0.0010694,0.0010694,0.0010694
49,23109.5,0.49618,0.30478,0.92998,0.99957,0.98225,0.98658,0.92085,0.38478,0.22281,0.83502,0.0010496,0.0010496,0.0010496
50,23456.4,0.50589,0.31118,0.92642,0.9992,0.98225,0.9871,0.92056,0.3809,0.24784,0.83051,0.0010298,0.0010298,0.0010298
51,23800,0.49974,0.31098,0.92828,0.99936,0.98225,0.98604,0.92379,0.36367,0.22857,0.83332,0.00101,0.00101,0.00101
52,24141.8,0.49513,0.30171,0.92498,0.99965,0.98225,0.9878,0.93649,0.34861,0.2072,0.82554,0.0009902,0.0009902,0.0009902
53,24489.2,0.48591,0.301,0.92225,0.99969,0.98225,0.98829,0.93678,0.35511,0.21558,0.82528,0.0009704,0.0009704,0.0009704
54,24832,0.49935,0.31356,0.93399,0.99999,0.98225,0.98908,0.94235,0.34724,0.2139,0.8249,0.0009506,0.0009506,0.0009506
55,25176.4,0.48023,0.2981,0.92431,1,0.98189,0.988,0.93287,0.35275,0.22491,0.82883,0.0009308,0.0009308,0.0009308
56,25518.3,0.4747,0.29727,0.91489,0.99979,0.98225,0.989,0.934,0.36533,0.2169,0.83085,0.000911,0.000911,0.000911
57,25864.8,0.48941,0.30024,0.91693,0.99944,0.98225,0.98774,0.93998,0.33727,0.21088,0.82284,0.0008912,0.0008912,0.0008912
58,26205.8,0.48202,0.29833,0.92625,0.99961,0.98225,0.98713,0.94836,0.33864,0.20513,0.8211,0.0008714,0.0008714,0.0008714
59,26547.4,0.49402,0.29513,0.94153,0.99957,0.98225,0.98716,0.94195,0.33334,0.20163,0.82208,0.0008516,0.0008516,0.0008516
60,26888.2,0.47044,0.2957,0.91434,0.99971,0.98225,0.98672,0.93506,0.36735,0.22443,0.83194,0.0008318,0.0008318,0.0008318
61,27231.2,0.47536,0.29602,0.92398,1,0.98189,0.98663,0.91479,0.38566,0.22779,0.83672,0.000812,0.000812,0.000812
62,27577,0.47338,0.2907,0.92254,0.99951,0.98225,0.98771,0.93927,0.35121,0.20477,0.82739,0.0007922,0.0007922,0.0007922
63,27919.6,0.47857,0.28559,0.92958,1,0.98213,0.9871,0.93286,0.34992,0.21347,0.83045,0.0007724,0.0007724,0.0007724
64,28271.2,0.48235,0.30285,0.9454,1,0.98201,0.98848,0.93319,0.36904,0.21683,0.83135,0.0007526,0.0007526,0.0007526
65,30579.9,0.47132,0.28739,0.92083,1,0.98176,0.98857,0.93095,0.38484,0.20574,0.83197,0.0007328,0.0007328,0.0007328
66,31034,0.45467,0.27387,0.91157,1,0.98213,0.98844,0.94206,0.36721,0.1883,0.82771,0.000713,0.000713,0.000713
67,31525.6,0.44587,0.28417,0.91745,0.9999,0.98225,0.98845,0.9389,0.34874,0.19577,0.82306,0.0006932,0.0006932,0.0006932
68,32032,0.45019,0.28314,0.91297,0.99971,0.98225,0.98764,0.93812,0.34884,0.1972,0.82588,0.0006734,0.0006734,0.0006734
69,32534.6,0.43553,0.26968,0.89795,0.99967,0.98225,0.98741,0.94868,0.31149,0.18059,0.81196,0.0006536,0.0006536,0.0006536
70,33037.8,0.43712,0.27294,0.90818,0.9997,0.98225,0.988,0.95062,0.32157,0.18644,0.81593,0.0006338,0.0006338,0.0006338
71,33508.8,0.44882,0.29784,0.91808,0.99966,0.98225,0.98802,0.94514,0.33241,0.1905,0.81761,0.000614,0.000614,0.000614
72,34020.3,0.45037,0.27635,0.90768,0.99967,0.98225,0.98698,0.93961,0.34338,0.19088,0.82491,0.0005942,0.0005942,0.0005942
73,34424.8,0.45826,0.27975,0.92606,0.99973,0.98225,0.98816,0.94242,0.33135,0.18316,0.81986,0.0005744,0.0005744,0.0005744
74,34778.3,0.43701,0.26605,0.90652,0.99987,0.98225,0.98856,0.94289,0.32661,0.18686,0.81705,0.0005546,0.0005546,0.0005546
75,35129.2,0.43166,0.26284,0.91106,0.99964,0.98225,0.98714,0.94329,0.32743,0.19339,0.81446,0.0005348,0.0005348,0.0005348
76,35470.6,0.42188,0.25407,0.90333,0.99965,0.98225,0.9883,0.9444,0.31685,0.18231,0.81579,0.000515,0.000515,0.000515
77,35811,0.44216,0.26906,0.91561,0.99967,0.98225,0.9897,0.94583,0.32083,0.19285,0.81383,0.0004952,0.0004952,0.0004952
78,36153.7,0.43274,0.25904,0.90501,0.99962,0.98225,0.989,0.94578,0.30983,0.17795,0.81098,0.0004754,0.0004754,0.0004754
79,36509.7,0.42012,0.25716,0.89541,0.99965,0.98225,0.9891,0.94383,0.32502,0.18112,0.8133,0.0004556,0.0004556,0.0004556
80,36852.6,0.43535,0.26041,0.89689,0.99962,0.98225,0.98907,0.95092,0.32299,0.18711,0.81338,0.0004358,0.0004358,0.0004358
81,37231.7,0.42925,0.26274,0.90122,0.99963,0.98225,0.98982,0.95022,0.32899,0.18872,0.81669,0.000416,0.000416,0.000416
82,37690.6,0.42712,0.25699,0.90032,0.99963,0.98225,0.98975,0.95478,0.3336,0.18832,0.81751,0.0003962,0.0003962,0.0003962
83,38055,0.40527,0.25412,0.89731,0.9996,0.98225,0.98943,0.94645,0.33146,0.18179,0.81926,0.0003764,0.0003764,0.0003764
84,38412.6,0.39722,0.24858,0.89015,0.99963,0.98225,0.98945,0.94898,0.33247,0.17958,0.8169,0.0003566,0.0003566,0.0003566
85,38769.9,0.43004,0.2557,0.90228,0.99968,0.98225,0.98923,0.94921,0.31215,0.17074,0.81059,0.0003368,0.0003368,0.0003368
86,39146.5,0.39935,0.24376,0.89081,0.99967,0.98225,0.98907,0.95057,0.31067,0.16929,0.80911,0.000317,0.000317,0.000317
87,39507.8,0.39224,0.23742,0.90034,0.99969,0.98225,0.98901,0.95025,0.30397,0.17324,0.80716,0.0002972,0.0002972,0.0002972
88,39863.3,0.40688,0.24558,0.8966,0.99966,0.98225,0.98975,0.95103,0.31942,0.17546,0.8113,0.0002774,0.0002774,0.0002774
89,40378.5,0.40344,0.24759,0.89629,0.99963,0.98225,0.9897,0.95856,0.30571,0.16939,0.80812,0.0002576,0.0002576,0.0002576
90,41590.8,0.38298,0.23152,0.88761,0.99967,0.98225,0.9899,0.95752,0.3098,0.16959,0.81021,0.0002378,0.0002378,0.0002378
91,42109.1,0.28565,0.1807,0.80306,0.99959,0.98225,0.98856,0.95188,0.30115,0.17547,0.80687,0.000218,0.000218,0.000218
92,45602.4,0.28851,0.17686,0.81036,0.99955,0.98225,0.98853,0.94886,0.3067,0.1798,0.8084,0.0001982,0.0001982,0.0001982
93,46013.2,0.29343,0.17343,0.81567,0.99952,0.98225,0.98861,0.95349,0.30738,0.17673,0.80909,0.0001784,0.0001784,0.0001784
94,46402,0.29745,0.17496,0.80524,0.99944,0.98225,0.9885,0.95241,0.30639,0.18094,0.80919,0.0001586,0.0001586,0.0001586
95,46812.5,0.27784,0.16945,0.80843,0.99936,0.98225,0.98856,0.94773,0.31914,0.1769,0.81452,0.0001388,0.0001388,0.0001388
96,47254.2,0.27939,0.16724,0.81515,0.99956,0.98225,0.98876,0.95475,0.30755,0.16646,0.80994,0.000119,0.000119,0.000119
97,47692.4,0.28893,0.20729,0.8084,0.9996,0.98225,0.98891,0.95475,0.31374,0.16536,0.81225,9.92e-05,9.92e-05,9.92e-05
98,48143,0.26856,0.16096,0.80618,0.99962,0.98225,0.98891,0.95443,0.31179,0.16529,0.81059,7.94e-05,7.94e-05,7.94e-05
99,48839.5,0.26855,0.15925,0.80844,0.99962,0.98225,0.98903,0.95436,0.30662,0.1602,0.80932,5.96e-05,5.96e-05,5.96e-05
100,49506.8,0.26137,0.15246,0.79451,0.9996,0.98225,0.98895,0.95309,0.30803,0.16214,0.81022,3.98e-05,3.98e-05,3.98e-05
