epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,4548.56,0.63942,0.43427,0.9967,0.99742,0.95876,0.97748,0.8833,0.44732,0.36787,0.88057,0.0015644,0.0015644,0.0015644
24,4740.75,0.6486,0.43334,0.99116,0.99863,0.95876,0.98152,0.88207,0.44578,0.35742,0.88723,0.0015446,0.0015446,0.0015446
25,4934.02,0.60929,0.40973,0.9901,0.99851,0.95876,0.9831,0.89287,0.44109,0.35293,0.8796,0.0015248,0.0015248,0.0015248
26,5131.59,0.64298,0.4369,1.00111,0.99504,0.95876,0.98056,0.8932,0.41109,0.35318,0.87405,0.001505,0.001505,0.001505
27,5324.15,0.62123,0.41235,0.98837,0.98924,0.95876,0.96755,0.87542,0.46028,0.38774,0.9114,0.0014852,0.0014852,0.0014852
28,5520.62,0.63949,0.4203,0.99412,0.98481,0.96907,0.98261,0.88536,0.45635,0.35334,0.88576,0.0014654,0.0014654,0.0014654
29,5712.15,0.64839,0.41535,1.00955,0.98837,0.96907,0.98401,0.87668,0.51372,0.35058,0.90946,0.0014456,0.0014456,0.0014456
30,5906.6,0.62751,0.41222,0.98851,0.99818,0.96907,0.98442,0.84175,0.58249,0.36352,0.95246,0.0014258,0.0014258,0.0014258
31,6102.8,0.62602,0.41023,0.99615,0.99832,0.96907,0.98148,0.89088,0.45185,0.33678,0.89136,0.001406,0.001406,0.001406
32,6302.74,0.62183,0.40065,0.99056,1,0.96852,0.98301,0.9248,0.38913,0.30419,0.86086,0.0013862,0.0013862,0.0013862
33,6496.77,0.60578,0.38813,0.97996,0.99936,0.96907,0.9852,0.90609,0.42498,0.29564,0.87837,0.0013664,0.0013664,0.0013664
34,6690.54,0.58769,0.38703,0.97211,0.99847,0.96907,0.98356,0.905,0.41743,0.29942,0.87186,0.0013466,0.0013466,0.0013466
35,6890.96,0.6042,0.38771,0.98593,0.99996,0.96907,0.98458,0.91364,0.39869,0.2896,0.86469,0.0013268,0.0013268,0.0013268
36,7097.01,0.62176,0.39799,0.98788,1,0.96862,0.98448,0.90143,0.43219,0.30869,0.87704,0.001307,0.001307,0.001307
37,7293.16,0.61137,0.38914,0.99097,1,0.9676,0.985,0.91334,0.40121,0.30235,0.86698,0.0012872,0.0012872,0.0012872
38,7488.72,0.60954,0.39919,0.9899,0.98842,0.96907,0.98437,0.90362,0.41036,0.30349,0.87028,0.0012674,0.0012674,0.0012674
39,7683.36,0.62167,0.40658,0.97566,0.94376,0.86508,0.91997,0.81903,0.52718,0.52858,0.93188,0.0012476,0.0012476,0.0012476
40,7877.4,0.6109,0.4046,0.98962,0.9991,0.96907,0.98542,0.89536,0.44465,0.28641,0.8824,0.0012278,0.0012278,0.0012278
41,8070.93,0.58163,0.37355,0.96374,0.9881,0.96907,0.98595,0.91095,0.36931,0.26532,0.85356,0.001208,0.001208,0.001208
42,8280.96,0.57773,0.36717,0.9565,0.99898,0.95876,0.98587,0.90544,0.41648,0.28726,0.86935,0.0011882,0.0011882,0.0011882
43,8489.92,0.60761,0.3807,0.98461,1,0.95625,0.98192,0.90625,0.41283,0.29429,0.87027,0.0011684,0.0011684,0.0011684
44,8685.88,0.61408,0.39827,1.0038,0.98814,0.96907,0.98594,0.91311,0.38934,0.26821,0.86354,0.0011486,0.0011486,0.0011486
45,8883.72,0.55,0.35196,0.95687,0.99946,0.96907,0.98641,0.89842,0.40716,0.26853,0.86815,0.0011288,0.0011288,0.0011288
46,9083.02,0.59064,0.36646,0.98683,0.98956,0.97673,0.98999,0.92008,0.39692,0.26719,0.86199,0.001109,0.001109,0.001109
47,9276.22,0.57681,0.36052,0.96977,0.98879,0.96907,0.98614,0.9128,0.41243,0.26929,0.8695,0.0010892,0.0010892,0.0010892
