epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.141,0.72435,2.14545,1.0476,0.00348,1,0.93099,0.7267,0.67542,2.86462,1.06138,0.0004,0.0004,0.0004
2,427.526,0.75738,1.23367,1.0651,1,0.89001,0.94835,0.78369,0.62169,2.30176,0.97322,0.000811882,0.000811882,0.000811882
3,639.145,0.75689,1.0857,1.05729,0.89289,0.85947,0.92163,0.73142,0.66702,2.21948,1.03945,0.00121545,0.00121545,0.00121545
4,836.999,0.84281,1.04484,1.10272,0.87124,0.62781,0.80777,0.62618,0.88441,2.23368,1.23785,0.0016107,0.0016107,0.0016107
5,1034.08,0.77612,0.954,1.04399,0.00311,0.04124,0.00083,0.00018,4.34813,7.0478,7.96674,0.0019208,0.0019208,0.0019208
6,1229.07,0.81389,0.87783,1.07161,0.6162,0.59794,0.63495,0.4678,0.98724,2.05953,1.25699,0.001901,0.001901,0.001901
7,1423.64,0.76112,0.79498,1.04652,0.95188,0.78351,0.89446,0.70281,0.80363,1.32356,1.1812,0.0018812,0.0018812,0.0018812
8,1619.77,0.78058,0.76496,1.05399,0.89973,0.91753,0.94802,0.77766,0.6411,1.03104,1.01272,0.0018614,0.0018614,0.0018614
9,1813.44,0.77892,0.7026,1.06595,0.99707,0.94845,0.96906,0.82023,0.63766,1.0409,0.97309,0.0018416,0.0018416,0.0018416
10,2009.89,0.78913,0.71622,1.07143,0.8714,0.92784,0.94519,0.77499,0.59704,0.94319,0.99108,0.0018218,0.0018218,0.0018218
11,2207.93,0.74455,0.64722,1.04349,0.55399,0.4433,0.47936,0.25749,1.48103,2.34333,1.73643,0.001802,0.001802,0.001802
12,2407.68,0.73382,0.60687,1.03844,0.95338,0.81443,0.93648,0.78607,0.67241,0.8331,1.01978,0.0017822,0.0017822,0.0017822
13,2604.27,0.71501,0.59208,1.03463,0.94701,0.92133,0.95735,0.82103,0.63443,0.77738,1.00544,0.0017624,0.0017624,0.0017624
14,2797.03,0.7058,0.59536,1.03238,0.95274,0.96907,0.97785,0.86461,0.49033,0.55618,0.90517,0.0017426,0.0017426,0.0017426
15,2993.2,0.71384,0.55613,1.01531,0.94772,0.95876,0.9702,0.85346,0.51663,0.58424,0.91683,0.0017228,0.0017228,0.0017228
16,3186.58,0.71522,0.54253,1.04684,0.9874,0.93814,0.97205,0.83538,0.58263,0.57163,0.96163,0.001703,0.001703,0.001703
17,3382.34,0.68566,0.51905,1.02657,0.50618,0.43299,0.34269,0.13394,2.04268,2.64288,2.51077,0.0016832,0.0016832,0.0016832
18,3576.14,0.66682,0.49967,1.01853,0.78955,0.56701,0.6303,0.32174,1.48838,1.94123,1.70861,0.0016634,0.0016634,0.0016634
19,3771.6,0.66147,0.48183,1.01143,0.99777,0.95876,0.96953,0.82585,0.59962,0.47232,0.95312,0.0016436,0.0016436,0.0016436
20,3965.23,0.67365,0.46381,1.01898,0.99592,0.95876,0.97736,0.88373,0.46336,0.4142,0.88664,0.0016238,0.0016238,0.0016238
21,4161.23,0.69283,0.48047,1.0159,0.97912,0.96675,0.97909,0.89358,0.43263,0.42539,0.87945,0.001604,0.001604,0.001604
22,4357.33,0.65204,0.45637,1.00671,0.99302,0.95876,0.9827,0.87524,0.48116,0.3825,0.90189,0.0015842,0.0015842,0.0015842
